Specimen,ScanSite,Volume,MEAN_BMC,Reference
8222,TI5,38.976,15.29,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8330,TI1,83.153,33.27,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8330,TI2,24.797,17.74,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8330,TI3,19.907,16.79,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8330,TI4,27.261,13.68,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8330,TI5,47.93,20.96,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE1,48.197,15.03,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE2,49.695,23.11,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE3,48.197,20.05,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE4,29.21,12.61,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE5,50.8,19.18,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE6,151.892,39.85,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,FE7,44.958,10.76,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE1,37.567,10.98,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE2,46.939,14.71,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE3,40.386,12.87,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE4,22.911,9.8,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE5,37.655,12.05,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE6,121.793,23.45,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,FE7,29.87,6.27,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8330,FE1,52.578,16.02,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
